,Total_Population2020,white_2020,black_2020,native_2020,asian_pi_2020,hisp_2020,pct_white_2020,pct_black_2020,pct_native_2020,pct_asian_pi_2020,pct_hispanic_2020,pov_idx,haz_idx,tcost_idx,pct_poor_ns,pct_nonwhite,hh_pct_white_lt30ami,hh_pct_black_lt30ami,hh_pct_hisp_lt30ami,hh_pct_ai_pi_lt30ami,stusab,state,state_name,county,county_name,tract
27235,3539,2097,53,0,12,1273,59.254026561,1.4975981916,0.0,0.3390788358,35.970613168,31.0,62.0,,14.96,34.160982265,84.21,0.0,21.05,0.0,IL,17,Illinois,99,LaSalle County,962000
27236,5100,4209,86,7,67,600,82.529411765,1.6862745098,0.137254902,1.3137254902,11.764705882,32.0,41.0,,14.51,17.295414974,89.58,8.33,1.67,0.0,IL,17,Illinois,99,LaSalle County,962100
27237,4880,4337,28,8,47,279,88.87295082,0.5737704918,0.1639344262,0.9631147541,5.7172131148,87.0,41.0,,2.93,5.9447100395,100.0,0.0,0.0,0.0,IL,17,Illinois,99,LaSalle County,962200
27238,6936,5175,991,11,37,496,74.610726644,14.287773933,0.1585928489,0.5334486736,7.1510957324,53.0,57.0,,8.95,26.333978435,85.37,9.76,7.32,0.0,IL,17,Illinois,99,LaSalle County,962300
27239,3836,3382,24,8,24,225,88.164754953,0.6256517205,0.2085505735,0.6256517205,5.8654848801,29.0,66.0,,15.42,7.4853489611,81.65,0.0,0.0,0.0,IL,17,Illinois,99,LaSalle County,962400
27240,2288,2013,11,2,9,144,87.980769231,0.4807692308,0.0874125874,0.3933566434,6.2937062937,38.0,40.0,,12.59,6.3711911357,85.0,0.0,15.0,0.0,IL,17,Illinois,99,LaSalle County,962500
27241,5727,4670,142,13,80,552,81.543565567,2.47948315,0.2269949363,1.3968919155,9.6385542169,22.0,52.0,,18.34,26.801405975,62.1,0.0,22.0,4.89,IL,17,Illinois,99,LaSalle County,962600
27242,2169,1634,63,5,18,330,75.334255417,2.9045643154,0.2305209774,0.8298755187,15.214384509,22.0,41.0,,18.76,29.376083189,80.0,0.0,7.5,0.0,IL,17,Illinois,99,LaSalle County,962700
27243,3355,2814,63,10,23,316,83.874813711,1.8777943368,0.2980625931,0.6855439642,9.4187779434,47.0,38.0,,10.11,6.5675340768,89.47,0.0,2.11,0.0,IL,17,Illinois,99,LaSalle County,962800
27244,3056,2329,43,8,8,546,76.210732984,1.4070680628,0.2617801047,0.2617801047,17.866492147,42.0,38.0,,11.53,33.985765125,87.5,0.0,12.5,0.0,IL,17,Illinois,99,LaSalle County,962900
27245,4734,4016,58,3,117,395,84.833122095,1.2251795522,0.0633713561,2.4714828897,8.343895226,60.0,41.0,,7.49,11.391880696,100.0,0.0,0.0,0.0,IL,17,Illinois,99,LaSalle County,963000
27246,3226,2736,40,2,26,299,84.810911345,1.2399256045,0.0619962802,0.8059516429,9.2684438934,33.0,52.0,,14.06,11.443910709,100.0,0.0,0.0,0.0,IL,17,Illinois,99,LaSalle County,963100
27247,2967,2465,39,2,33,304,83.080552747,1.3144590495,0.0674081564,1.1122345804,10.246039771,41.0,52.0,,11.67,22.507240381,100.0,0.0,2.16,0.0,IL,17,Illinois,99,LaSalle County,963200
27248,2410,1548,97,0,17,617,64.232365145,4.0248962656,0.0,0.7053941909,25.601659751,21.0,25.0,,18.89,23.86310361,86.61,0.0,10.71,0.0,IL,17,Illinois,99,LaSalle County,963300
27249,3856,3400,16,9,25,293,88.174273859,0.4149377593,0.2334024896,0.648340249,7.5985477178,57.0,52.0,,7.99,11.785714286,82.14,10.71,7.14,0.0,IL,17,Illinois,99,LaSalle County,963400
27250,4954,4331,111,1,72,294,87.424303593,2.2406136455,0.0201857085,1.4533710133,5.9345983044,35.0,41.0,,13.59,11.115702479,85.71,0.0,11.9,0.0,IL,17,Illinois,99,LaSalle County,963500
27251,3310,2779,51,5,10,312,83.957703927,1.5407854985,0.1510574018,0.3021148036,9.4259818731,55.0,41.0,,8.54,7.5080906149,91.67,0.0,0.0,0.0,IL,17,Illinois,99,LaSalle County,963600
27252,5459,4893,33,15,12,286,89.631800696,0.6045063198,0.2747755999,0.2198204799,5.2390547719,17.0,62.0,,21.61,3.3003952569,91.64,0.0,1.34,0.0,IL,17,Illinois,99,LaSalle County,963700
27253,4114,3304,140,4,19,444,80.311132718,3.4030140982,0.0972289742,0.4618376276,10.79241614,20.0,57.0,,19.73,22.539325843,88.37,6.98,4.65,0.0,IL,17,Illinois,99,LaSalle County,963800
27254,4919,3897,128,11,48,643,79.223419394,2.6021549095,0.2236226875,0.9758080911,13.071762553,24.0,67.0,,17.52,14.297302778,72.63,18.95,0.0,4.21,IL,17,Illinois,99,LaSalle County,963900
27255,2416,2231,6,2,5,103,92.342715232,0.2483443709,0.082781457,0.2069536424,4.2632450331,69.0,52.0,,5.85,5.8529072006,90.57,0.0,0.0,7.55,IL,17,Illinois,99,LaSalle County,964000
27256,3612,3259,18,5,16,183,90.227021041,0.4983388704,0.138427464,0.4429678848,5.0664451827,35.0,67.0,,13.58,6.6237113402,92.86,0.0,2.86,0.0,IL,17,Illinois,99,LaSalle County,964100
27257,2288,1799,67,4,12,275,78.627622378,2.9283216783,0.1748251748,0.5244755245,12.019230769,35.0,62.0,,13.42,17.726218097,97.01,0.0,2.99,0.0,IL,17,Illinois,99,LaSalle County,964200
27258,3066,2309,113,2,9,467,75.309849967,3.6855838226,0.0652315721,0.2935420744,15.231572081,12.0,62.0,,25.24,15.97267404,66.04,7.55,26.42,0.0,IL,17,Illinois,99,LaSalle County,964300
27259,2644,2493,16,1,11,32,94.288956127,0.6051437216,0.0378214826,0.4160363086,1.2102874433,42.0,69.0,,11.51,1.8812246404,100.0,0.0,0.0,0.0,IL,17,Illinois,101,Lawrence County,880700
27260,4948,3218,1271,8,13,335,65.036378335,25.687146322,0.1616814875,0.2627324171,6.7704122878,42.0,62.0,,11.56,32.094982765,100.0,0.0,0.0,0.0,IL,17,Illinois,101,Lawrence County,880800
27261,2711,2550,34,0,5,34,94.061232018,1.2541497602,0.0,0.1844337883,1.2541497602,50.0,46.0,,9.5,10.484481453,100.0,0.0,0.0,0.0,IL,17,Illinois,101,Lawrence County,880900
27262,1823,1644,22,0,9,45,90.181020296,1.2068019748,0.0,0.493691717,2.4684585848,15.0,70.0,,22.89,5.3758088601,96.97,0.0,0.0,0.0,IL,17,Illinois,101,Lawrence County,881000
27263,3154,2872,50,3,27,68,91.058972733,1.5852885225,0.0951173114,0.8560558022,2.1559923906,36.0,51.0,,13.19,9.8582871226,100.0,0.0,0.0,0.0,IL,17,Illinois,101,Lawrence County,881100
27264,2762,2475,24,0,9,121,89.608979001,0.8689355539,0.0,0.3258508327,4.3808834178,35.0,66.0,,13.37,7.830223198,89.47,0.0,4.21,0.0,IL,17,Illinois,103,Lee County,100
27265,3227,2969,16,3,26,126,92.004958165,0.4958165479,0.0929656027,0.8057018903,3.9045553145,45.0,62.0,,10.8,8.5042016807,100.0,0.0,0.0,0.0,IL,17,Illinois,103,Lee County,200
27266,4072,3481,102,0,53,281,85.486247544,2.5049115914,0.0,1.3015717092,6.9007858546,39.0,27.0,,12.14,12.613030373,92.86,4.76,1.9,0.0,IL,17,Illinois,103,Lee County,300
27267,7503,5038,1414,7,56,766,67.146474743,18.845795015,0.0932960149,0.7463681194,10.209249633,61.0,37.0,,7.33,29.350718467,100.0,0.0,0.0,0.0,IL,17,Illinois,103,Lee County,400
27268,4709,4064,75,6,56,299,86.302824379,1.5926948397,0.1274155872,1.189212147,6.3495434275,48.0,53.0,,10.03,14.768211921,93.15,0.0,6.85,0.0,IL,17,Illinois,103,Lee County,500
27269,3425,2788,146,5,26,268,81.401459854,4.2627737226,0.1459854015,0.7591240876,7.8248175182,13.0,52.0,,24.08,10.337972167,95.33,2.8,1.87,0.0,IL,17,Illinois,103,Lee County,600
27270,1809,1610,4,0,4,112,88.999447208,0.221116639,0.0,0.221116639,6.1912658928,45.0,62.0,,10.75,4.0659988214,86.49,0.0,20.27,0.0,IL,17,Illinois,103,Lee County,700
27271,3399,3113,20,7,18,144,91.585760518,0.5884083554,0.2059429244,0.5295675199,4.2365401589,49.0,62.0,,9.61,7.9174797881,95.97,3.23,0.0,0.0,IL,17,Illinois,103,Lee County,800
27272,3239,2897,30,2,10,207,89.441185551,0.9262117938,0.0617474529,0.3087372646,6.390861377,52.0,62.0,,9.01,6.3025210084,96.77,0.0,2.58,0.0,IL,17,Illinois,103,Lee County,900
27273,4012,3602,34,1,16,179,89.780658026,0.8474576271,0.0249252243,0.3988035892,4.4616151545,30.0,57.0,,15.32,11.029604401,100.0,0.0,0.0,0.0,IL,17,Illinois,105,Livingston County,960100
27274,3305,3066,13,3,8,86,92.768532526,0.3933434191,0.0907715582,0.2420574887,2.602118003,47.0,67.0,,10.22,2.4123512383,100.0,0.0,3.67,0.0,IL,17,Illinois,105,Livingston County,960200
27275,3117,2835,17,3,13,139,90.952839269,0.5453962143,0.0962463908,0.4170676933,4.4594161052,47.0,62.0,,10.2,5.216802168,74.07,11.11,0.0,0.0,IL,17,Illinois,105,Livingston County,960300
27276,3099,2894,15,1,21,84,93.384962891,0.4840271055,0.0322684737,0.6776379477,2.7105517909,44.0,62.0,,10.88,6.1755485893,80.74,0.0,7.41,0.0,IL,17,Illinois,105,Livingston County,960400
27277,3187,2658,104,6,21,279,83.401317854,3.2632569815,0.1882648259,0.6589268905,8.7543144023,11.0,52.0,,25.9,15.183752418,100.0,0.0,0.0,0.0,IL,17,Illinois,105,Livingston County,960500
27278,4098,3575,81,7,17,250,87.237676916,1.9765739385,0.1708150317,0.4148365056,6.1005368472,21.0,62.0,,19.19,7.1164737749,92.31,4.62,3.08,0.0,IL,17,Illinois,105,Livingston County,960600
27279,4755,3427,763,5,39,399,72.07150368,16.046267087,0.1051524711,0.8201892744,8.3911671924,76.0,52.0,,4.74,26.304558681,66.44,33.56,0.0,0.0,IL,17,Illinois,105,Livingston County,960700
27280,5554,5203,33,8,18,178,93.680230465,0.5941663666,0.1440403313,0.3240907454,3.2048973713,56.0,56.0,,8.33,9.3830809014,55.29,14.71,29.41,0.0,IL,17,Illinois,105,Livingston County,960800
27281,2287,2068,7,4,3,145,90.424136423,0.3060778312,0.1749016178,0.1311762134,6.3401836467,53.0,66.0,,8.88,8.6830078936,83.33,0.0,6.67,0.0,IL,17,Illinois,105,Livingston County,960900
27282,2401,2190,14,0,16,120,91.211995002,0.583090379,0.0,0.6663890046,4.9979175344,36.0,67.0,,13.2,11.176470588,100.0,0.0,0.0,0.0,IL,17,Illinois,105,Livingston County,961000
27283,3532,3265,40,5,46,81,92.440543601,1.1325028313,0.1415628539,1.3023782559,2.2933182333,55.0,62.0,,8.54,6.4773028935,72.22,0.0,16.67,4.44,IL,17,Illinois,107,Logan County,952900
27284,2365,2237,9,5,9,28,94.587737844,0.3805496829,0.2114164905,0.3805496829,1.1839323467,91.0,62.0,,2.23,7.7157802964,100.0,0.0,0.0,0.0,IL,17,Illinois,107,Logan County,953000
27285,3103,2705,102,5,18,108,87.173702868,3.287141476,0.1611343861,0.5800837899,3.4805027393,31.0,62.0,,14.93,22.731829574,36.99,58.9,0.0,0.0,IL,17,Illinois,107,Logan County,953100
27286,3692,3278,112,3,31,95,88.786565547,3.0335861322,0.0812567714,0.8396533044,2.5731310943,19.0,62.0,,20.41,8.3560895685,80.43,1.74,17.39,0.0,IL,17,Illinois,107,Logan County,953200
27287,3335,3007,69,9,15,70,90.164917541,2.0689655172,0.2698650675,0.4497751124,2.0989505247,69.0,62.0,,5.91,4.4103847357,100.0,0.0,0.0,0.0,IL,17,Illinois,107,Logan County,953300
27288,3783,3415,103,7,37,79,90.272270685,2.7227068464,0.1850383294,0.9780597409,2.0882897172,52.0,62.0,,9.03,5.1399354144,100.0,0.0,0.0,0.0,IL,17,Illinois,107,Logan County,953400
27289,5069,3539,1058,13,21,328,69.81653186,20.871966857,0.2564608404,0.414282896,6.4707042809,73.0,62.0,,5.23,38.020634314,100.0,0.0,0.0,0.0,IL,17,Illinois,107,Logan County,953500
27290,3108,3006,1,1,2,29,96.718146718,0.0321750322,0.0321750322,0.0643500644,0.9330759331,76.0,57.0,,4.79,1.8593644354,100.0,0.0,0.0,0.0,IL,17,Illinois,107,Logan County,953600
27291,3454,3200,42,1,9,52,92.646207296,1.2159814708,0.0289519398,0.260567458,1.5055008686,42.0,62.0,,11.37,5.702247191,76.36,0.0,3.64,0.0,IL,17,Illinois,109,McDonough County,10100
