,Total_Population2020,white_2020,black_2020,native_2020,asian_pi_2020,hisp_2020,pct_white_2020,pct_black_2020,pct_native_2020,pct_asian_pi_2020,pct_hispanic_2020,pov_idx,haz_idx,tcost_idx,pct_poor_ns,pct_nonwhite,hh_pct_white_lt30ami,hh_pct_black_lt30ami,hh_pct_hisp_lt30ami,hh_pct_ai_pi_lt30ami,stusab,state,state_name,county,county_name,tract
25232,1374,938,59,2,135,193,68.26783115,4.2940320233,0.1455604076,9.8253275109,14.04657933,16.0,3.0,,21.9,29.359286294,46.94,1.63,13.88,36.73,IL,17,Illinois,31,Cook County,60500
25233,5295,3421,336,8,717,572,64.608120869,6.3456090652,0.1510859301,13.541076487,10.802644004,80.0,4.0,,4.06,33.263157895,56.34,14.08,15.49,15.49,IL,17,Illinois,31,Cook County,60800
25234,7104,4805,526,7,640,815,67.63795045,7.4042792793,0.098536036,9.009009009,11.47240991,90.0,7.0,,2.47,19.941305943,37.65,0.0,42.35,20.0,IL,17,Illinois,31,Cook County,60900
25235,2279,1717,98,9,105,248,75.34006143,4.3001316367,0.3949100483,4.6072838964,10.881965774,73.0,4.0,,5.17,27.428057554,58.62,2.76,37.93,0.0,IL,17,Illinois,31,Cook County,61000
25236,1367,1119,25,1,46,113,81.858083394,1.8288222385,0.0731528895,3.3650329188,8.2662765179,93.0,3.0,,1.96,18.448637317,100.0,0.0,0.0,0.0,IL,17,Illinois,31,Cook County,61100
25237,1932,1531,53,0,94,162,79.244306418,2.7432712215,0.0,4.8654244306,8.3850931677,83.0,3.0,,3.56,26.700601573,72.73,0.0,0.0,27.27,IL,17,Illinois,31,Cook County,61200
25238,1797,1459,26,2,97,138,81.190873678,1.4468558709,0.1112966055,5.3978853645,7.6794657763,77.0,3.0,,4.63,18.820087762,58.0,0.0,38.0,0.0,IL,17,Illinois,31,Cook County,61500
25239,1051,739,55,1,94,117,70.313986679,5.2331113225,0.0951474786,8.9438629876,11.132254995,80.0,4.0,,4.05,33.144073811,63.64,0.0,34.55,0.0,IL,17,Illinois,31,Cook County,61800
25240,3625,2553,188,3,350,363,70.427586207,5.1862068966,0.0827586207,9.6551724138,10.013793103,33.0,4.0,,14.18,32.919621749,35.88,32.99,6.19,24.74,IL,17,Illinois,31,Cook County,61901
25241,4665,3585,181,5,377,333,76.848874598,3.8799571275,0.1071811361,8.0814576635,7.1382636656,60.0,4.0,,7.53,23.377469069,76.62,2.6,0.0,9.09,IL,17,Illinois,31,Cook County,61902
25242,2843,2150,79,1,203,256,75.624340485,2.7787548364,0.0351741119,7.1403447063,9.0045726345,77.0,4.0,,4.61,19.005561008,93.75,0.0,0.0,12.5,IL,17,Illinois,31,Cook County,62000
25243,3817,2892,132,1,284,344,75.766308619,3.4582132565,0.0261985853,7.4403982185,9.0123133351,62.0,4.0,,7.16,19.649595687,47.37,25.96,17.54,8.77,IL,17,Illinois,31,Cook County,62100
25244,3244,2636,81,0,169,213,81.257706535,2.4969173859,0.0,5.2096177559,6.5659679408,65.0,3.0,,6.61,20.295202952,68.75,15.63,15.63,0.0,IL,17,Illinois,31,Cook County,62200
25245,1667,1316,18,1,95,133,78.944211158,1.0797840432,0.0599880024,5.698860228,7.9784043191,95.0,3.0,,1.42,22.400990099,100.0,0.0,0.0,0.0,IL,17,Illinois,31,Cook County,62300
25246,1673,1338,32,1,72,137,79.976090855,1.9127316198,0.0597728631,4.3036461447,8.1888822475,76.0,2.0,,4.7,14.635761589,49.37,18.99,25.32,0.0,IL,17,Illinois,31,Cook County,62400
25247,1675,1273,76,5,97,153,76.0,4.5373134328,0.2985074627,5.7910447761,9.1343283582,66.0,2.0,,6.39,23.734177215,89.8,8.16,0.0,0.0,IL,17,Illinois,31,Cook County,62500
25248,2477,1819,20,0,258,232,73.43560759,0.8074283407,0.0,10.415825595,9.3661687525,92.0,1.0,,2.01,24.938474159,20.0,0.0,0.0,75.0,IL,17,Illinois,31,Cook County,62600
25249,2955,2322,56,5,183,252,78.578680203,1.8950930626,0.1692047377,6.192893401,8.5279187817,86.0,1.0,,3.14,16.823687752,49.28,0.0,43.48,5.8,IL,17,Illinois,31,Cook County,62700
25250,3851,3112,86,1,177,261,80.810179174,2.2331861854,0.0259672812,4.5962087769,6.7774603999,93.0,2.0,,1.79,13.912285797,0.0,57.14,42.86,0.0,IL,17,Illinois,31,Cook County,62800
25251,4125,3356,68,3,210,315,81.357575758,1.6484848485,0.0727272727,5.0909090909,7.6363636364,85.0,2.0,,3.22,22.319765895,100.0,0.0,0.0,0.0,IL,17,Illinois,31,Cook County,62900
25252,3417,2554,109,3,287,300,74.743927422,3.1899326895,0.0877963126,8.3991805677,8.7796312555,80.0,3.0,,4.11,26.839703366,94.59,0.0,0.0,0.0,IL,17,Illinois,31,Cook County,63000
